气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
4,879.30,355.91,55.05,51.43,179.44,6.1944,80.1835,single
5,835.21,7.51,47.12,21.12,0.31,2.4121,24.1282,single
6,891.47,210.62,46.92,36.34,3.60,5.9558,41.1691,single
7,297.91,210.31,73.87,48.71,19.63,7.0474,136.7502,single
9,786.88,184.46,84.13,44.96,174.95,7.5153,163.7276,overlap
10,847.47,179.84,55.35,52.81,91.41,8.2359,83.2437,overlap
11,264.53,4.45,63.60,28.68,164.40,4.1819,59.6775,single
12,372.89,266.08,43.66,38.79,7.13,7.8218,38.0463,single
13,327.26,46.02,45.35,36.12,123.14,7.9375,38.2131,overlap
14,853.84,82.71,37.58,33.32,179.51,5.9118,24.2072,single
15,417.73,185.57,52.95,33.14,152.88,11.3308,47.7943,single
25,773.04,199.09,60.27,39.34,27.94,8.2407,73.5213,overlap
31,586.35,255.02,44.88,42.55,0.86,11.7474,44.0868,overlap
32,532.89,318.24,91.70,45.49,9.66,9.6614,196.8133,single
33,764.40,102.47,80.83,34.04,20.76,7.6553,114.4295,overlap
35,515.53,64.26,75.06,58.33,151.47,11.4662,169.0855,overlap
52,347.92,53.77,79.52,48.95,136.75,8.8911,159.2243,overlap
65,474.73,41.07,77.01,57.85,20.89,10.1011,176.4751,overlap
67,612.65,155.59,68.86,34.94,162.47,12.2797,85.2270,overlap
70,320.19,350.49,84.60,56.28,28.39,7.9557,207.2337,single
72,667.72,41.88,54.82,32.03,13.39,10.6876,49.5258,overlap
89,394.20,348.66,54.93,51.05,178.62,6.6780,79.2382,overlap
179,318.03,473.91,50.32,41.17,10.14,7.9766,53.6256,single
207,876.31,528.20,23.43,22.62,0.97,6.0853,6.3900,single
232,696.48,309.34,88.31,38.86,2.72,8.8308,155.9256,overlap
84,360.37,14.15,61.20,40.46,153.82,9.2961,77.9517,overlap
251,662.37,324.61,64.87,46.05,8.66,11.4453,99.6997,overlap
83,473.42,115.22,84.68,41.57,172.26,11.9883,153.3733,overlap
37,770.48,232.35,88.81,39.73,27.96,10.4397,161.2267,overlap
289,427.55,335.58,90.63,57.64,158.92,9.7269,243.5509,overlap
285,727.73,263.75,65.38,48.74,5.39,8.2779,107.1704,single
43,417.63,52.82,60.84,43.77,173.44,13.0670,83.3433,overlap
318,279.04,444.85,64.77,29.26,8.14,8.9686,63.1625,single
20,587.25,194.74,42.25,40.02,4.33,6.4970,36.7552,single
291,777.19,371.78,94.19,48.85,28.89,11.6798,222.9837,overlap
348,343.95,425.63,69.64,37.81,158.70,8.9639,94.3517,single
235,598.01,276.70,73.07,46.26,10.51,11.8296,127.0543,overlap
283,525.27,136.61,57.03,47.14,166.62,6.6393,78.8897,overlap
349,750.40,409.45,74.69,52.13,179.72,9.4085,149.5861,overlap
375,271.17,555.87,30.34,28.42,176.51,6.8805,13.4617,single
383,493.97,399.46,118.41,68.56,156.72,12.2381,494.4900,overlap
408,720.86,558.06,35.72,35.14,1.37,6.7846,23.0743,single
425,440.28,491.43,61.30,48.13,6.60,10.3681,93.0302,overlap
453,723.03,498.12,47.88,45.58,176.57,8.1028,53.7517,single
440,589.80,493.63,62.72,46.32,10.12,8.8057,93.7637,single
17,669.25,74.83,53.73,39.28,22.25,9.1669,58.3319,overlap
523,514.81,516.10,79.70,44.67,131.89,10.7845,145.9819,single
529,292.83,615.89,76.56,49.81,145.63,8.3173,150.1971,single
57,628.99,124.14,47.84,44.66,2.78,8.7368,52.5951,overlap
541,598.22,577.47,94.36,42.18,6.20,11.9435,193.2007,overlap
499,426.11,569.31,71.25,57.74,139.75,10.6026,150.7917,overlap
549,473.58,600.34,55.68,43.71,22.54,9.9906,69.7003,overlap
564,724.46,647.25,66.77,48.63,48.26,6.5183,111.5410,overlap
566,784.90,633.71,76.62,45.87,27.14,10.4347,138.5155,single
51,752.93,15.91,34.93,28.93,23.82,5.8232,18.1631,single
557,632.81,608.57,95.76,34.55,176.27,11.0566,162.9888,overlap
256,626.04,311.69,60.97,31.95,22.31,11.3048,61.1077,overlap
587,388.18,635.01,45.88,22.56,159.23,9.6278,24.4370,single
600,768.82,127.28,39.82,28.48,6.73,5.9891,23.2302,overlap
608,341.49,662.05,76.69,39.27,7.01,9.2394,118.8191,single
622,240.37,726.35,43.29,38.98,0.12,5.8756,37.5787,single
327,647.86,395.63,79.02,55.09,12.15,8.0227,176.9540,single
636,774.24,473.18,36.85,35.90,0.31,6.6676,25.0764,single
268,442.63,108.27,35.33,26.03,175.80,10.5108,16.7152,overlap
651,694.10,686.55,78.36,37.08,19.39,10.8532,117.1265,overlap
658,760.28,692.80,38.89,37.30,90.32,4.8099,29.0228,overlap
676,776.45,715.42,51.70,29.50,8.98,9.4410,40.5601,overlap
680,482.78,695.82,84.65,44.13,172.43,10.7258,162.7081,overlap
657,830.82,752.21,89.70,45.53,31.51,5.3130,188.4559,single
443,497.27,462.51,93.18,58.23,143.68,13.8334,260.0698,overlap
704,555.92,730.99,87.03,41.57,167.80,9.1620,161.9865,single
705,469.00,727.37,56.46,39.70,15.31,10.1365,65.1193,overlap
664,437.71,609.89,44.56,41.30,29.66,7.1845,42.1876,overlap
69,691.18,110.66,62.83,30.11,21.77,8.4645,61.1605,overlap
42,670.17,150.63,45.75,42.49,176.39,8.3912,45.7542,single
736,755.89,790.95,56.82,36.06,14.15,13.1345,59.8942,overlap
8,564.04,101.11,65.15,39.57,18.71,9.6897,86.4059,single
