气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,592.34,84.27,70.04,44.73,7.73,13.8312,112.9025,single
4,876.19,499.84,55.33,54.14,176.56,5.3592,85.2631,single
5,841.02,149.60,48.38,42.18,10.87,5.6611,50.7972,single
6,888.74,342.51,43.89,41.11,19.85,5.1287,40.7342,single
7,293.56,381.00,67.77,53.09,179.07,7.5014,125.4405,single
8,566.29,348.44,62.32,37.66,2.97,11.9988,75.2434,overlap
9,793.61,386.14,62.22,48.36,1.48,9.4847,96.3176,single
10,839.06,348.49,57.40,43.56,24.51,7.8507,73.8380,single
11,256.13,160.99,68.64,49.41,141.61,7.1486,119.7748,single
12,359.25,436.82,48.00,37.94,26.04,6.8587,44.9636,single
13,308.22,185.04,44.68,43.40,173.75,7.2224,44.5695,single
14,872.27,212.76,37.70,35.30,171.36,5.7400,25.8093,single
15,428.46,429.84,58.19,35.40,172.09,9.9163,61.6586,single
18,780.66,301.85,36.36,32.68,2.70,7.9620,22.2311,overlap
22,338.22,3.69,30.09,20.00,4.79,4.3238,9.3147,overlap
23,852.67,43.52,49.13,42.96,22.30,6.6899,53.3569,single
24,660.78,112.38,76.17,39.14,3.71,9.7393,116.8256,overlap
25,744.78,415.41,57.30,41.61,34.51,8.1191,70.2882,overlap
26,501.46,111.90,62.93,43.65,166.12,10.4110,88.9487,single
27,620.11,137.01,77.56,32.19,171.33,12.3021,99.6251,overlap
28,730.39,127.50,65.14,39.06,21.39,8.0012,85.2751,overlap
29,415.88,73.03,54.43,48.51,175.24,9.6541,73.9367,overlap
31,590.75,457.47,43.34,43.08,90.40,9.0965,41.6296,single
32,547.95,498.21,37.43,37.07,3.38,9.8437,26.7240,overlap
33,760.43,309.32,67.51,36.06,26.49,7.7689,84.5324,overlap
34,526.68,248.92,42.40,38.44,172.40,8.3263,35.5547,single
35,524.56,315.13,85.85,49.53,161.38,10.2293,187.7789,overlap
40,537.04,37.29,63.70,32.34,155.14,9.8822,67.5013,single
41,443.01,19.92,69.76,40.73,163.66,4.7007,101.9723,overlap
52,383.20,262.97,94.54,57.01,131.60,12.9420,262.1651,overlap
62,595.58,26.04,41.26,39.87,179.70,8.1271,34.9246,single
63,777.03,163.17,88.35,68.24,19.76,12.2053,274.0388,overlap
64,436.17,10.23,73.00,29.05,172.69,13.4402,79.6503,overlap
65,449.99,242.65,69.94,70.04,89.88,10.6100,176.2486,overlap
67,645.37,407.58,42.96,36.82,171.43,14.3066,34.9622,single
68,362.53,6.73,71.99,31.98,162.06,7.9878,85.2589,overlap
69,666.35,342.79,67.16,37.33,18.08,8.5802,86.6174,overlap
70,315.25,513.88,81.99,56.31,3.04,7.9334,194.7666,single
72,646.44,298.34,53.72,34.13,9.00,11.4360,50.6747,overlap
79,711.87,171.57,53.08,49.11,11.35,7.4779,71.1738,overlap
80,436.44,65.01,54.28,53.76,179.06,9.5460,81.4931,overlap
89,398.18,530.09,71.93,47.63,155.15,8.5231,126.7719,overlap
179,306.28,624.73,48.44,41.15,3.54,4.6535,49.6836,overlap
54,671.43,232.45,32.64,29.43,2.95,8.4761,16.1304,single
51,785.02,199.61,30.75,26.68,89.94,6.9894,12.9740,overlap
46,551.22,144.53,75.56,37.87,0.47,14.2406,111.2557,overlap
207,875.52,647.53,22.90,22.84,0.44,5.4458,6.1593,single
232,691.50,541.48,85.06,44.48,177.53,10.0698,165.5649,overlap
234,516.04,540.50,57.79,44.35,165.86,10.9943,76.1916,single
84,375.53,203.61,57.67,37.25,155.05,9.6655,63.7422,single
251,645.87,546.61,67.48,52.79,8.91,8.9879,123.6702,overlap
83,471.15,365.93,96.17,34.93,6.03,10.5630,166.2020,overlap
37,744.08,444.40,83.80,46.23,15.01,13.7732,167.0180,overlap
289,423.73,562.59,88.63,55.08,158.65,8.0859,222.5856,overlap
285,716.23,468.05,65.38,52.88,13.90,6.6635,116.2777,overlap
43,423.60,286.16,69.88,48.91,154.11,11.3993,122.8736,overlap
268,448.53,310.22,37.06,30.04,0.36,10.2219,21.2185,overlap
318,271.36,636.84,54.29,38.96,6.03,7.8481,59.0887,overlap
327,662.45,621.91,51.55,48.12,91.35,6.9783,65.7987,overlap
20,591.83,379.84,42.11,39.11,175.89,7.0621,35.6678,single
291,771.11,588.73,107.19,41.54,12.19,7.8608,245.5438,overlap
348,356.88,632.48,69.03,49.74,161.51,8.2487,121.9448,overlap
235,586.51,523.78,90.17,44.20,10.55,6.8259,184.8928,overlap
283,536.13,353.05,52.85,49.37,178.30,9.0098,70.9476,overlap
349,762.08,633.03,77.95,66.76,160.10,8.1450,208.7316,overlap
369,639.30,624.84,74.03,52.78,8.03,8.6709,148.8275,overlap
375,290.48,685.04,31.05,28.74,171.44,5.8508,14.2545,single
81,537.52,10.22,51.45,21.81,178.33,3.7041,29.7005,single
382,352.74,60.12,44.40,40.15,179.64,6.8553,40.7223,single
59,758.74,8.56,50.68,42.03,34.14,5.8208,55.5314,single
383,501.51,642.90,122.92,81.61,176.52,11.5308,634.3770,overlap
395,657.30,13.20,79.31,43.83,13.46,7.7689,141.8169,overlap
408,726.13,715.92,38.70,36.00,93.16,8.7671,27.7466,single
425,432.66,704.69,62.56,47.64,21.76,10.4187,95.9275,single
256,598.25,544.00,57.60,38.40,20.62,11.6935,65.5463,overlap
443,525.21,714.66,90.11,53.92,171.30,3.8322,225.2379,overlap
453,737.39,671.79,52.18,40.98,138.30,5.1380,57.3920,overlap
440,591.89,720.06,60.03,49.32,173.13,11.4122,91.4425,overlap
42,696.21,338.96,44.14,41.40,178.02,8.7310,41.4916,overlap
499,470.01,791.81,62.52,50.11,151.21,3.4730,100.7762,overlap
510,623.35,790.31,46.61,25.45,176.57,6.5766,28.4496,single
17,668.60,273.51,50.98,41.45,1.40,8.5460,55.4282,overlap
523,545.90,787.81,77.92,42.83,158.69,8.9470,133.8066,single
486,522.69,685.74,65.56,49.79,7.67,16.3237,110.0771,overlap
529,316.48,788.98,77.74,25.17,178.83,6.2048,78.2654,single
509,731.44,354.81,10.22,9.76,1.91,7.5948,0.5242,single
532,592.20,84.17,70.58,44.77,6.77,0.0000,114.7378,overlap
57,653.63,329.73,48.13,42.32,7.06,12.7729,50.4311,overlap
